No.	X	Y	Z
	 8	 472	 487
	 58	-67	 751
	-14	-182	 313
	 88	-112	 491
	-60	-170	-579
	 63	 394	 145
	 99	-26	 563
	-11	 0	 156
	 221	-272	 114
	 442	 28	 361
	-9	-393	 663
	 122	-52	-565
	 13	 472	 509
	 54	-57	 747
	-17	-190	 308
	 84	-106	 490
	-69	-180	-575
	 60	 400	 167
	 98	-18	 553
	-2	 2	 152
	 224	-269	 124
	 434	 19	 356
	-5	-395	 676
	 130	-37	-577
	 17	 477	 513
	 41	-55	 737
	-17	-185	 303
	 87	-118	 484
	-68	-169	-569
	 70	 397	 146
	 96	-26	 578
	 0	 0	 153
	 221	-259	 112
	 429	 23	 359
	-12	-401	 662
	 128	-42	-570
	 11	 470	 502
	 54	-59	 743
	-3	-193	 296
	 87	-113	 480
	-65	-173	-578
	 61	 403	 139
	 89	-15	 562
	-2	-5	 155
	 229	-265	 96
	 438	 29	 362
	-16	-400	 687
	 130	-39	-589
	 20	 470	 481
	 51	-66	 744
	-14	-191	 309
	 95	-113	 479
	-66	-166	-577
	 63	 401	 132
	 103	-21	 570
	-11	-10	 172
	 209	-270	 130
	 422	 30	 360
	-3	-391	 685
	 136	-38	-565
	 5	 465	 484
	 45	-58	 715
	-12	-192	 299
	 78	-110	 480
	-58	-169	-587
	 59	 401	 140
	 90	-28	 581
	-4	 3	 148
	 229	-263	 111
	 431	 21	 347
	-5	-401	 672
	 142	-50	-573
	 13	 467	 496
	 48	-52	 730
	 0	-194	 285
	 82	-111	 492
	-59	-168	-564
	 58	 394	 147
	 101	-34	 575
	-12	 9	 160
	 223	-275	 132
	 428	 22	 361
	-5	-407	 690
	 129	-54	-583
	 11	 472	 483
	 52	-62	 741
	-10	-190	 308
	 81	-120	 500
	-61	-163	-597
	 60	 397	 125
	 98	-23	 558
	-14	-4	 148
	 215	-252	 119
	 430	 30	 353
	-8	-395	 674
	 131	-51	-568
	 17	 467	 500
	 51	-61	 724
	-12	-181	 305
	 88	-113	 462
	-75	-170	-582
	 67	 397	 161
	 89	-33	 567
	 1	 0	 176
	 215	-265	 119
	 443	 24	 352
	-4	-399	 690
	 127	-37	-559
	 14	 481	 484
	 44	-60	 735
	 0	-187	 297
	 83	-116	 490
	-64	-164	-570
	 62	 401	 161
	 100	-30	 567
	 4	 3	 170
	 216	-262	 121
	 427	 20	 352
	-2	-395	 695
	 137	-42	-570
	 13	 476	 505
	 46	-56	 728
	-20	-188	 308
	 89	-119	 496
	-64	-163	-575
	 58	 388	 144
	 95	-18	 559
	-4	-5	 153
	 232	-265	 103
	 430	 13	 357
	 4	-398	 687
	 131	-48	-585
	 7	 466	 488
	 43	-62	 736
	-1	-196	 298
	 89	-112	 500
	-74	-164	-569
	 66	 386	 154
	 100	-25	 546
	-4	 9	 150
	 222	-268	 111
	 433	 27	 352
	-4	-396	 675
	 132	-40	-575
	 20	 481	 493
	 50	-58	 746
	-11	-186	 308
	 82	-118	 514
	-78	-169	-570
	 70	 406	 146
	 99	-27	 563
	 1	 5	 166
	 211	-266	 124
	 435	 23	 320
	-4	-387	 656
	 132	-47	-579
	 17	 468	 495
	 55	-68	 735
	-13	-189	 306
	 89	-114	 482
	-64	-172	-578
	 61	 401	 146
	 95	-27	 566
	 5	 1	 152
	 228	-268	 119
	 420	 33	 354
	-4	-395	 680
	 136	-49	-570
	 1	 472	 502
	 49	-55	 734
	-2	-189	 306
	 85	-121	 498
	-59	-170	-589
	 56	 402	 139
	 90	-23	 554
	 4	 0	 150
	 226	-271	 131
	 416	 37	 334
	-15	-387	 670
	 133	-37	-582
	 9	 469	 500
	 51	-58	 747
	-10	-192	 300
	 82	-111	 485
	-68	-176	-569
	 67	 401	 133
	 106	-15	 551
	-4	-3	 159
	 226	-266	 113
	 433	 19	 351
	-1	-396	 683
	 138	-51	-579
	 28	 472	 500
	 51	-53	 736
	-17	-194	 313
	 80	-102	 494
	-72	-176	-571
	 61	 399	 147
	 97	-30	 568
	-11	 4	 166
	 223	-270	 107
	 428	 19	 335
	-1	-395	 680
	 132	-40	-583
	 17	 464	 501
	 46	-51	 727
	-7	-193	 291
	 78	-126	 507
	-64	-170	-587
	 70	 405	 138
	 95	-23	 565
	-3	 5	 162
	 217	-274	 100
	 437	 30	 354
	-11	-404	 669
	 142	-46	-580
	 6	 463	 500
	 50	-63	 752
	-12	-190	 283
	 83	-118	 512
	-64	-165	-577
	 67	 403	 160
	 103	-24	 576
	-11	-9	 158
	 223	-265	 117
	 430	 22	 371
	-9	-412	 681
	 130	-35	-574
	 15	 470	 495
	 42	-59	 758
	 5	-177	 293
	 85	-104	 497
	-69	-170	-578
	 68	 392	 156
	 94	-21	 576
	-8	 6	 153
	 218	-267	 118
	 433	 34	 354
	-3	-400	 711
	 139	-42	-589
	 10	 467	 493
	 53	-63	 720
	-10	-189	 306
	 76	-121	 489
	-61	-168	-588
	 51	 408	 142
	 99	-28	 580
	-6	 3	 168
	 219	-256	 120
	 430	 26	 358
	-6	-397	 678
	 132	-46	-580
	 13	 477	 503
	 44	-52	 725
	 1	-189	 286
	 72	-110	 496
	-66	-162	-580
	 49	 397	 160
	 96	-32	 580
	-5	 8	 140
	 221	-275	 104
	 427	 26	 336
	-4	-400	 678
	 138	-46	-581
	 23	 467	 489
	 56	-69	 730
	-9	-188	 299
	 78	-108	 484
	-74	-171	-575
	 59	 409	 163
	 96	-13	 570
	-2	 3	 166
	 224	-267	 146
	 433	 18	 357
	-7	-396	 675
	 132	-53	-568
	 13	 474	 500
	 50	-65	 745
	-11	-186	 297
	 88	-114	 498
	-71	-166	-580
	 64	 396	 144
	 102	-32	 559
	-4	 4	 158
	 225	-266	 124
	 431	 31	 347
	 4	-402	 677
	 136	-40	-564
	 10	 470	 508
	 53	-62	 729
	-18	-180	 301
	 83	-115	 496
	-68	-168	-575
	 55	 399	 164
	 107	-28	 566
	-10	 1	 160
	 208	-259	 123
	 421	 17	 358
	-13	-397	 672
	 137	-47	-555
	 4	 468	 505
	 46	-61	 750
	-9	-188	 304
	 89	-113	 486
	-61	-179	-570
	 62	 411	 150
	 99	-29	 558
	-5	-1	 148
	 224	-258	 111
	 433	 24	 362
	-2	-397	 677
	 137	-52	-566
	 12	 476	 509
	 53	-57	 742
	-12	-191	 300
	 89	-118	 469
	-68	-171	-569
	 61	 405	 160
	 100	-30	 578
	-1	 2	 152
	 220	-259	 109
	 429	 27	 348
	 4	-391	 684
	 127	-38	-568
	 14	 470	 494
	 51	-57	 737
	-8	-183	 299
	 91	-111	 503
	-66	-170	-571
	 57	 405	 148
	 104	-20	 583
	-7	 3	 168
	 227	-260	 113
	 434	 20	 359
	-2	-394	 689
	 129	-32	-583
	 15	 463	 491
	 44	-61	 730
	-14	-182	 293
	 79	-119	 498
	-59	-167	-580
	 61	 401	 133
	 95	-32	 563
	-9	 0	 163
	 224	-266	 121
	 436	 39	 360
	-3	-388	 677
	 133	-42	-598
	 6	 469	 495
	 56	-56	 746
	-12	-186	 297
	 80	-104	 466
	-69	-172	-568
	 61	 399	 140
	 100	-22	 570
	-1	 5	 154
	 226	-268	 118
	 423	 32	 348
	-1	-392	 680
	 137	-37	-565
	 15	 471	 504
	 48	-60	 740
	-18	-187	 309
	 85	-120	 489
	-69	-166	-583
	 62	 406	 142
	 96	-25	 576
	-2	-1	 157
	 223	-262	 129
	 426	 18	 345
	-4	-403	 665
	 139	-47	-573
	 9	 472	 501
	 48	-57	 725
	-9	-187	 298
	 74	-114	 478
	-58	-173	-571
	 67	 410	 154
	 99	-37	 560
	-4	 10	 172
	 228	-264	 126
	 440	 28	 348
	-14	-403	 680
	 142	-47	-567
	 10	 475	 504
	 55	-60	 735
	-11	-185	 305
	 88	-110	 505
	-64	-171	-578
	 61	 402	 134
	 91	-28	 567
	 2	 8	 159
	 214	-260	 123
	 432	 27	 345
	 0	-400	 688
	 132	-51	-579
	 24	 470	 481
	 45	-63	 748
	-8	-187	 303
	 89	-118	 479
	-67	-181	-575
	 58	 397	 141
	 96	-28	 573
	-7	 6	 151
	 233	-267	 114
	 437	 30	 344
	-5	-402	 688
	 132	-44	-566
	 9	 465	 487
	 55	-52	 752
	-20	-194	 308
	 72	-113	 473
	-58	-169	-566
	 72	 396	 156
	 93	-15	 569
	 0	 0	 162
	 223	-268	 119
	 437	 20	 355
	-6	-413	 663
	 134	-47	-574
	 13	 467	 498
	 52	-52	 742
	-5	-186	 317
	 86	-114	 487
	-59	-166	-576
	 66	 392	 158
	 96	-22	 562
	-7	 0	 159
	 218	-270	 104
	 433	 31	 350
	 0	-395	 666
	 135	-47	-583
	 24	 466	 484
	 43	-66	 737
	-12	-199	 298
	 80	-113	 477
	-67	-175	-586
	 57	 398	 163
	 96	-16	 574
	-7	 1	 164
	 222	-268	 122
	 432	 22	 357
	-10	-391	 678
	 141	-53	-576
	 9	 460	 494
	 43	-56	 743
	-17	-182	 313
	 78	-123	 472
	-73	-178	-587
	 56	 403	 169
	 109	-32	 565
	-3	-9	 154
	 220	-255	 108
	 429	 22	 354
	 0	-396	 682
	 143	-42	-573
	 12	 476	 505
	 42	-59	 749
	-21	-189	 300
	 90	-121	 490
	-73	-174	-577
	 70	 382	 166
	 94	-26	 580
	-1	 11	 161
	 220	-265	 124
	 430	 33	 333
	-11	-394	 671
	 139	-45	-594
	 14	 473	 480
	 39	-58	 730
	-15	-184	 303
	 89	-116	 475
	-69	-162	-565
	 71	 401	 160
	 100	-25	 574
	-5	 3	 150
	 222	-264	 129
	 436	 23	 355
