X	Y	Z
-32	 482	 489
 24	-80	 774
-44	-161	 324
 58	-131	 550
-86	-181	-512
 64	 347	 220
 85	-51	 621
 10	-14	 216
 221	-247	 197
 458	 44	 501
-9	-394	 794
 189	-58	-352
-33	 479	 488
 18	-82	 774
-40	-170	 337
 53	-142	 559
-82	-191	-551
 62	 350	 216
 94	-47	 632
 0	 2	 233
 211	-249	 200
 468	 52	 515
 4	-391	 802
 187	-56	-380
-23	 476	 495
 33	-86	 769
-56	-165	 309
 56	-136	 552
-77	-187	-540
 56	 343	 208
 77	-48	 630
 3	-3	 217
 220	-263	 222
 465	 56	 506
-1	-408	 801
 197	-57	-367
-18	 474	 498
 14	-75	 770
-62	-158	 313
 49	-134	 535
-91	-197	-533
 61	 353	 214
 94	-54	 631
 11	-11	 224
 219	-256	 219
 463	 47	 513
-7	-407	 802
 188	-62	-356
-19	 484	 484
 13	-75	 770
-50	-153	 308
 56	-150	 533
-81	-186	-540
 77	 356	 225
 94	-47	 617
 12	-13	 207
 215	-243	 205
 463	 59	 506
-11	-416	 806
 192	-59	-359
-23	 469	 488
 28	-89	 772
-46	-147	 320
 56	-128	 554
-84	-194	-522
 61	 345	 217
 86	-36	 624
 10	-7	 214
 221	-245	 216
 465	 62	 501
 8	-408	 802
 179	-49	-369
-23	 476	 459
 18	-88	 759
-52	-158	 313
 52	-132	 540
-89	-196	-549
 60	 351	 216
 85	-55	 619
 4	-2	 225
 216	-249	 221
 453	 55	 495
 2	-394	 805
 181	-50	-373
-30	 484	 494
 23	-85	 774
-51	-163	 327
 63	-139	 545
-89	-186	-545
 60	 349	 215
 97	-53	 627
 13	-11	 207
 216	-262	 199
 464	 57	 512
-1	-395	 815
 181	-65	-360
-27	 475	 492
 11	-80	 758
-53	-160	 324
 55	-143	 545
-89	-189	-530
 62	 345	 201
 89	-47	 614
 14	-5	 213
 215	-250	 215
 468	 51	 531
-4	-397	 797
 184	-58	-361
-25	 493	 485
 16	-82	 765
-51	-148	 312
 50	-136	 543
-89	-196	-527
 72	 351	 209
 95	-59	 616
 5	-8	 226
 219	-254	 214
 459	 57	 508
-4	-398	 806
 200	-52	-363
-19	 486	 495
 21	-84	 769
-54	-159	 336
 63	-141	 560
-72	-196	-531
 73	 352	 211
 86	-52	 625
 7	-14	 222
 215	-253	 207
 466	 54	 520
 7	-398	 795
 191	-54	-338
-22	 486	 490
 30	-74	 777
-34	-150	 323
 63	-141	 531
-78	-188	-538
 55	 347	 213
 84	-51	 623
 11	-7	 234
 225	-244	 224
 463	 47	 510
-5	-404	 800
 197	-54	-360
-12	 471	 488
 19	-83	 767
-44	-161	 332
 54	-139	 545
-90	-195	-515
 53	 342	 215
 76	-41	 633
 16	-5	 231
 223	-252	 216
 464	 54	 504
-6	-393	 794
 192	-51	-392
-33	 480	 494
 27	-84	 755
-58	-159	 330
 45	-131	 552
-91	-187	-524
 55	 349	 216
 85	-53	 602
-11	-21	 227
 204	-247	 209
 455	 52	 502
-3	-401	 794
 190	-59	-364
-27	 472	 513
 19	-87	 773
-52	-163	 321
 44	-135	 561
-88	-188	-528
 57	 343	 210
 80	-46	 628
 5	-3	 228
 212	-251	 225
 462	 55	 505
-9	-402	 796
 194	-67	-362
-16	 486	 508
 15	-85	 776
-45	-164	 309
 60	-147	 543
-78	-188	-535
 68	 347	 208
 83	-66	 615
 20	 2	 219
 228	-247	 194
 456	 51	 506
 2	-398	 803
 193	-44	-348
-28	 490	 490
 14	-80	 774
-52	-158	 331
 51	-144	 555
-95	-198	-529
 69	 344	 217
 94	-52	 617
 8	-8	 237
 217	-257	 216
 468	 56	 523
-7	-393	 799
 189	-61	-356
-21	 478	 490
 13	-76	 772
-65	-167	 316
 59	-136	 537
-84	-183	-541
 61	 349	 204
 83	-50	 623
 8	-13	 214
 223	-252	 207
 464	 54	 514
-9	-406	 804
 197	-58	-382
-37	 476	 499
 15	-84	 769
-50	-154	 329
 54	-140	 526
-79	-199	-537
 60	 332	 218
 84	-46	 634
 5	-9	 232
 209	-251	 209
 459	 56	 510
 11	-398	 802
 187	-63	-365
-24	 485	 492
 22	-87	 781
-48	-151	 326
 54	-146	 565
-86	-185	-527
 54	 339	 230
 81	-53	 623
 13	-5	 219
 211	-251	 198
 461	 55	 511
-3	-394	 793
 185	-66	-356
-25	 485	 491
 11	-81	 778
-46	-153	 308
 48	-137	 554
-87	-189	-533
 53	 349	 202
 96	-45	 607
 0	 0	 223
 214	-252	 216
 463	 67	 514
 2	-403	 817
 187	-60	-342
-35	 479	 468
 9	-83	 766
-49	-158	 333
 49	-139	 569
-90	-172	-537
 52	 338	 225
 83	-57	 630
 3	-7	 195
 217	-246	 212
 457	 51	 517
 2	-402	 799
 193	-56	-356
-28	 479	 503
 5	-87	 774
-49	-169	 322
 46	-139	 551
-82	-191	-531
 59	 347	 229
 84	-48	 616
 5	-3	 209
 213	-253	 210
 464	 56	 523
-4	-399	 805
 192	-55	-374
-21	 487	 490
 24	-80	 781
-52	-166	 324
 57	-140	 536
-76	-188	-531
 65	 357	 196
 85	-45	 625
 4	-12	 211
 204	-244	 227
 464	 58	 517
-3	-405	 793
 180	-71	-361
-22	 477	 483
 27	-89	 761
-37	-162	 336
 50	-141	 547
-97	-197	-528
 60	 347	 202
 93	-53	 618
 5	-11	 219
 221	-243	 202
 468	 43	 492
-5	-393	 787
 192	-47	-363
-26	 482	 498
 20	-82	 774
-50	-154	 337
 50	-144	 551
-76	-192	-541
 76	 340	 209
 85	-53	 622
 16	-3	 224
 210	-250	 215
 459	 56	 505
 10	-395	 780
 182	-56	-362
-30	 492	 488
 18	-82	 761
-52	-151	 323
 52	-138	 540
-81	-181	-510
 47	 341	 201
 88	-47	 613
 8	-3	 230
 221	-250	 216
 460	 49	 496
 4	-402	 797
 192	-51	-357
-26	 482	 484
 15	-86	 774
-38	-159	 336
 59	-133	 541
-83	-195	-534
 76	 350	 204
 72	-55	 641
 20	-8	 217
 209	-254	 206
 456	 58	 498
 0	-399	 791
 194	-56	-348
-27	 484	 480
 11	-71	 776
-53	-160	 331
 42	-147	 556
-93	-187	-533
 63	 346	 211
 90	-57	 624
 12	-7	 217
